Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
83,10/4/2021,13:19:06,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
84,10/4/2021,13:19:07,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
85,10/4/2021,13:19:08,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
86,10/4/2021,13:19:09,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
87,10/4/2021,13:19:10,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
88,10/4/2021,13:19:11,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
89,10/4/2021,13:19:12,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
90,10/4/2021,13:19:13,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
91,10/4/2021,13:19:14,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
92,10/4/2021,13:19:15,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
93,10/4/2021,13:19:16,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
94,10/4/2021,13:19:17,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
95,10/4/2021,13:19:18,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
96,10/4/2021,13:19:19,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
97,10/4/2021,13:19:20,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
98,10/4/2021,13:19:21,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
99,10/4/2021,13:19:22,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
100,10/4/2021,13:19:23,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
101,10/4/2021,13:19:24,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
